Dataset,CNN,Margin,Cross Entropy,Ordinal
Complete Dataset,1681.9088134765625,40.365135192871094,43.171451568603516,59.59733963012695
No bias Dataset,1730.914794921875,21.71690559387207,35.46025085449219,55.96965408325195
Training Dataset 0,1577.046142578125,46.90253448486328,25.988798141479492,49.91989517211914
Training Dataset 1,1259.4158935546875,20.218769073486328,43.4957160949707,237.88836669921875
Training Dataset 2,1004.397216796875,62.2005500793457,29.262842178344727,67.57923126220703
Training Dataset 3,1242.5712890625,34.161224365234375,58.0177116394043,18.75084686279297
Training Dataset 4,0.0,0.0,0.0,0.0
Training Dataset 5,0.0,0.0,0.0,0.0
Training Dataset 6,386.6652526855469,9.995539665222168,38.47671890258789,17.39052963256836
Training Dataset 7,1310.45556640625,15.102396011352539,46.05504608154297,26.81922149658203
Training Dataset 8,773.8834838867188,22.257360458374023,21.5573787689209,15.900480270385742
Training Dataset 9,894.541748046875,11.890708923339844,20.557334899902344,66.64131164550781
