,image,age,gender,ethinicity
0,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/31_1_0_20170113210319897.jpg.chip.jpg,31,1,0
1,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/70_1_3_20170109134219121.jpg.chip.jpg,70,1,3
2,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/12_0_0_20170110225257257.jpg.chip.jpg,12,0,0
3,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/48_1_0_20170110125249128.jpg.chip.jpg,48,1,0
4,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/26_0_4_20170116182250630.jpg.chip.jpg,26,0,4
5,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/35_1_1_20170117154230213.jpg.chip.jpg,35,1,1
6,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/85_1_0_20170110181946121.jpg.chip.jpg,85,1,0
7,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/21_1_1_20170112193005893.jpg.chip.jpg,21,1,1
8,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/26_0_2_20170116181222639.jpg.chip.jpg,26,0,2
9,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/36_1_1_20170113011359152.jpg.chip.jpg,36,1,1
10,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/45_1_1_20170112203850233.jpg.chip.jpg,45,1,1
11,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/26_1_1_20170117152602749.jpg.chip.jpg,26,1,1
12,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/52_1_0_20170109013524205.jpg.chip.jpg,52,1,0
13,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/33_1_4_20170103181754609.jpg.chip.jpg,33,1,4
14,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/24_0_2_20170116165208785.jpg.chip.jpg,24,0,2
15,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/1_0_0_20170110213403723.jpg.chip.jpg,1,0,0
16,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/32_1_2_20170116191622164.jpg.chip.jpg,32,1,2
17,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/29_1_1_20170113000843651.jpg.chip.jpg,29,1,1
18,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/56_1_1_20170113012653153.jpg.chip.jpg,56,1,1
19,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/28_1_1_20170114031123751.jpg.chip.jpg,28,1,1
20,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/8_1_3_20170104221650071.jpg.chip.jpg,8,1,3
21,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/43_1_1_20170116003503143.jpg.chip.jpg,43,1,1
22,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/28_1_2_20170105162338411.jpg.chip.jpg,28,1,2
23,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/26_1_1_20170116013104528.jpg.chip.jpg,26,1,1
24,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/1_0_2_20161219140756601.jpg.chip.jpg,1,0,2
25,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/33_1_0_20170103183912066.jpg.chip.jpg,33,1,0
26,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/41_1_3_20170104234715675.jpg.chip.jpg,41,1,3
27,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/80_1_0_20170120223534893.jpg.chip.jpg,80,1,0
28,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/38_1_1_20170113005602013.jpg.chip.jpg,38,1,1
29,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/31_1_1_20170116234711144.jpg.chip.jpg,31,1,1
30,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/31_1_0_20170112233727598.jpg.chip.jpg,31,1,0
