Dataset,CNN,Margin,Cross Entropy,Ordinal
Complete Dataset,110.21678924560547,15.864798545837402,24.2034912109375,14.12587833404541
No bias Dataset,128.70339965820312,16.703502655029297,14.99460220336914,22.517032623291016
Training Dataset 0,567.8740844726562,28.454065322875977,52.49626922607422,59.73643112182617
Training Dataset 1,144.09341430664062,16.827362060546875,21.010976791381836,56.3463134765625
Training Dataset 2,78.96510314941406,13.095757484436035,36.300880432128906,35.175025939941406
Training Dataset 3,91.28380584716797,19.061588287353516,27.447343826293945,40.33871078491211
Training Dataset 4,119.15995788574219,10.896474838256836,9.935985565185547,10.711398124694824
Training Dataset 5,346.6845703125,5.251101016998291,6.227899074554443,8.530179977416992
Training Dataset 6,84.92618560791016,19.632362365722656,11.160573959350586,7.403624534606934
Training Dataset 7,355.2173767089844,15.600178718566895,69.60227966308594,26.067914962768555
Training Dataset 8,46.03794479370117,21.6206111907959,16.189407348632812,16.260522842407227
Training Dataset 9,127.02603149414062,16.672801971435547,15.218841552734375,29.676286697387695
