,image,age,gender,ethinicity
0,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/55_0_0_20170120222221343.jpg.chip.jpg,55,0,0
1,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/1_1_3_20161220220157201.jpg.chip.jpg,1,1,3
2,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/55_0_0_20170105001417083.jpg.chip.jpg,55,0,0
3,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/16_1_0_20170109214652137.jpg.chip.jpg,16,1,0
4,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/21_1_3_20170104231602346.jpg.chip.jpg,21,1,3
5,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/25_1_3_20170119172102729.jpg.chip.jpg,25,1,3
6,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/2_1_3_20161220144902743.jpg.chip.jpg,2,1,3
7,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/26_1_0_20170117171512771.jpg.chip.jpg,26,1,0
8,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/25_1_3_20170119172101233.jpg.chip.jpg,25,1,3
9,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/20_1_0_20170116000638538.jpg.chip.jpg,20,1,0
10,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/54_0_0_20170117191422211.jpg.chip.jpg,54,0,0
11,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/26_1_1_20170112213024014.jpg.chip.jpg,26,1,1
12,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/55_0_0_20170104212851085.jpg.chip.jpg,55,0,0
13,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/76_0_1_20170116205210541.jpg.chip.jpg,76,0,1
14,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/25_1_0_20170117191541627.jpg.chip.jpg,25,1,0
15,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/25_1_1_20170116001945041.jpg.chip.jpg,25,1,1
16,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/50_0_3_20170119205556344.jpg.chip.jpg,50,0,3
