Dataset,CNN,Margin,Cross Entropy,Ordinal
Complete Dataset,1641.8272705078125,28.105487823486328,33.763587951660156,25.9409122467041
No bias Dataset,1795.7794189453125,49.91413879394531,114.73110961914062,20.017993927001953
Training Dataset 0,1782.0167236328125,35.947364807128906,31.669950485229492,21.980649948120117
Training Dataset 1,1284.4371337890625,28.53872299194336,21.486940383911133,73.7794418334961
Training Dataset 2,1068.52978515625,25.420419692993164,23.14715003967285,19.801660537719727
Training Dataset 3,1358.9781494140625,21.770925521850586,30.511547088623047,24.32720184326172
Training Dataset 4,0.0,0.0,0.0,0.0
Training Dataset 5,0.0,0.0,0.0,0.0
Training Dataset 6,396.8726806640625,12.716304779052734,19.580787658691406,27.105281829833984
Training Dataset 7,1341.527587890625,29.262922286987305,40.906272888183594,51.603546142578125
Training Dataset 8,821.9571533203125,12.576423645019531,54.947166442871094,64.23155975341797
Training Dataset 9,944.9286499023438,14.969808578491211,43.21889114379883,47.2882080078125
